"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.439000000E-3,-1.216863632E1,-4.148094177E1,-2.250939941E1,4.873825297E1
1.538500000E-2,-1.206776810E1,-4.158206177E1,-2.257745361E1,4.883073110E1
2.533100000E-2,-1.206312180E1,-4.157316589E1,-2.265728760E1,4.885897779E1
3.527700000E-2,-1.212208939E1,-4.170198059E1,-2.273873901E1,4.902091888E1
4.522300000E-2,-1.207275772E1,-4.164788818E1,-2.274697876E1,4.896655095E1
5.516900000E-2,-1.193106461E1,-4.174281311E1,-2.278015137E1,4.902803326E1
6.511500000E-2,-1.193195724E1,-4.174395752E1,-2.253411865E1,4.891539734E1
7.506100000E-2,-1.198504257E1,-4.163957214E1,-2.259045410E1,4.886536432E1
8.500700000E-2,-1.195379257E1,-4.145361328E1,-2.265905762E1,4.873118204E1
9.495300000E-2,-1.196722031E1,-4.160382080E1,-2.250158691E1,4.878948330E1
1.048990000E-1,-1.199017715E1,-4.163145447E1,-2.240634155E1,4.877485511E1
1.148450000E-1,-1.197676468E1,-4.168092346E1,-2.237335205E1,4.879865935E1
1.247910000E-1,-1.203503799E1,-4.160798645E1,-2.222552490E1,4.868306310E1
1.347370000E-1,-1.212513351E1,-4.147196960E1,-2.238998413E1,4.866471530E1
1.446830000E-1,-1.219743729E1,-4.154463196E1,-2.233947754E1,4.872151658E1
1.546290000E-1,-1.218011093E1,-4.154779053E1,-2.249139404E1,4.878972029E1
1.645750000E-1,-1.211513901E1,-4.155418396E1,-2.258605957E1,4.882270870E1
1.745204583E-1,-1.206904221E1,-4.148385620E1,-2.253070068E1,4.872581019E1
1.844664583E-1,-1.211910629E1,-4.140447998E1,-2.244412231E1,4.863067269E1
1.944134583E-1,-1.219058609E1,-4.155953979E1,-2.260217285E1,4.885349481E1
2.043594583E-1,-1.214342117E1,-4.152668762E1,-2.257598877E1,4.880167755E1
2.143054583E-1,-1.216216660E1,-4.149069214E1,-2.268563843E1,4.882657085E1
2.242514583E-1,-1.216807175E1,-4.153263855E1,-2.263876343E1,4.884194554E1
2.341974583E-1,-1.217873764E1,-4.146621704E1,-2.260586548E1,4.877288140E1
2.441434583E-1,-1.228796005E1,-4.146107483E1,-2.266204834E1,4.882195329E1
2.540894583E-1,-1.223440933E1,-4.154397583E1,-2.262545776E1,4.886198971E1
2.640354583E-1,-1.222764969E1,-4.151899719E1,-2.260653687E1,4.883029852E1
2.739814583E-1,-1.224892044E1,-4.143911743E1,-2.262777710E1,4.877758504E1
2.839274583E-1,-1.216540909E1,-4.146740723E1,-2.262106323E1,4.877761312E1
2.938734583E-1,-1.235078812E1,-4.134878540E1,-2.281530762E1,4.881395582E1
3.038194583E-1,-1.227079391E1,-4.137135315E1,-2.248788452E1,4.866072538E1
3.137654583E-1,-1.227870560E1,-4.127537537E1,-2.249151611E1,4.858283153E1
3.237114583E-1,-1.216625595E1,-4.131288147E1,-2.283483887E1,4.874630063E1
3.336574583E-1,-1.221577835E1,-4.144450378E1,-2.264215088E1,4.878052000E1
3.436034583E-1,-1.225421524E1,-4.152990723E1,-2.267404175E1,4.887751175E1
3.535494583E-1,-1.214661026E1,-4.144221497E1,-2.236160278E1,4.863166254E1
3.634954583E-1,-1.210967636E1,-4.142393494E1,-2.248864746E1,4.866544885E1
3.734414583E-1,-1.210130692E1,-4.129887390E1,-2.224337769E1,4.844384858E1
3.833874583E-1,-1.203985214E1,-4.130696106E1,-2.225039673E1,4.843865426E1
3.933334583E-1,-1.210175705E1,-4.145123291E1,-2.222247314E1,4.856434439E1
4.032794583E-1,-1.216508865E1,-4.142109680E1,-2.229055786E1,4.858565233E1
4.132254583E-1,-1.212423325E1,-4.131080627E1,-2.233837891E1,4.850343203E1
4.231714583E-1,-1.219878006E1,-4.144650269E1,-2.258389282E1,4.875094907E1
4.331174583E-1,-1.221259689E1,-4.153125000E1,-2.239184570E1,4.873794213E1
4.430644583E-1,-1.213653183E1,-4.156774902E1,-2.241076660E1,4.875874920E1
4.530104583E-1,-1.213489151E1,-4.161457825E1,-2.218768311E1,4.869622158E1
4.629564583E-1,-1.210962296E1,-4.155798340E1,-2.233874512E1,4.871066090E1
4.729024583E-1,-1.208754349E1,-4.140385437E1,-2.231347656E1,4.856211590E1
