"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.139383333E-2,-1.826348495E1,-1.037521362E0,-3.818261719E1,4.233844103E1
2.133983333E-2,-1.830606461E1,-1.042968750E0,-3.814794922E1,4.232571104E1
3.128683333E-2,-1.824847794E1,-1.013198853E0,-3.820526123E1,4.235180639E1
4.122866667E-2,-1.830482864E1,-8.356781006E-1,-3.823214722E1,4.239648795E1
5.117566667E-2,-1.811864090E1,-7.866668701E-1,-3.797491455E1,4.208322858E1
6.112166667E-2,-1.816801071E1,-9.580993652E-1,-3.823175049E1,4.233983128E1
7.106766667E-2,-1.809006119E1,-9.477691650E-1,-3.811614990E1,4.220177086E1
8.101466667E-2,-1.814829636E1,-9.894104004E-1,-3.795025635E1,4.207804119E1
9.096066666E-2,-1.822821426E1,-9.178161621E-1,-3.808670044E1,4.223395473E1
1.009076667E-1,-1.825019455E1,-9.823608398E-1,-3.809909058E1,4.225606864E1
1.108536667E-1,-1.816740799E1,-1.060699463E0,-3.809719849E1,4.222056761E1
1.208006667E-1,-1.827955246E1,-9.810180664E-1,-3.839001465E1,4.253113753E1
1.307466667E-1,-1.821012497E1,-8.780517578E-1,-3.824172974E1,4.236519231E1
1.406926667E-1,-1.808076096E1,-9.809722900E-1,-3.832876587E1,4.239068903E1
1.506396667E-1,-1.824853897E1,-1.041503906E0,-3.807580566E1,4.223577727E1
1.605856667E-1,-1.830658340E1,-1.068862915E0,-3.821170044E1,4.238404788E1
1.705326667E-1,-1.822472763E1,-1.058029175E0,-3.832717896E1,4.245271216E1
1.804786667E-1,-1.842724228E1,-1.029937744E0,-3.829318237E1,4.250872670E1
1.904256667E-1,-1.838053513E1,-9.689331055E-1,-3.835162354E1,4.253974531E1
2.003716667E-1,-1.831239700E1,-1.060089111E0,-3.819473267E1,4.237104290E1
2.103186667E-1,-1.819447708E1,-1.015060425E0,-3.831436157E1,4.242710981E1
2.202646667E-1,-1.830851364E1,-9.501037598E-1,-3.811865234E1,4.229817993E1
2.302116667E-1,-1.833414078E1,-9.148559570E-1,-3.828375244E1,4.245731245E1
2.401576667E-1,-1.828576279E1,-8.936309814E-1,-3.846932983E1,4.260348618E1
2.501036667E-1,-1.824582291E1,-9.158172607E-1,-3.801382446E1,4.217581801E1
2.600506667E-1,-1.832035446E1,-1.008682251E0,-3.807360840E1,4.226408030E1
2.699966667E-1,-1.824450302E1,-9.230957031E-1,-3.824807739E1,4.238666560E1
2.799436667E-1,-1.828563309E1,-9.385681152E-1,-3.802682495E1,4.220526867E1
2.898896667E-1,-1.815539932E1,-9.201812744E-1,-3.795886230E1,4.208729601E1
2.998366667E-1,-1.819314957E1,-9.162139893E-1,-3.758212280E1,4.176417237E1
3.097826667E-1,-1.819445419E1,-8.188934326E-1,-3.762680054E1,4.180292895E1
3.197296667E-1,-1.827315903E1,-8.285827637E-1,-3.794531250E1,4.212412172E1
3.296756667E-1,-1.842509842E1,-9.099578857E-1,-3.795025635E1,4.219637700E1
3.396216667E-1,-1.829069901E1,-9.459838867E-1,-3.766168213E1,4.187895481E1
3.495686667E-1,-1.833244705E1,-1.020507812E0,-3.789166260E1,4.210579705E1
3.595146667E-1,-1.835251236E1,-8.205566406E-1,-3.815145874E1,4.234408846E1
3.694616667E-1,-1.824445724E1,-8.528747559E-1,-3.799285889E1,4.215501088E1
3.794076667E-1,-1.818632889E1,-1.058547974E0,-3.814376831E1,4.227067711E1
3.893546667E-1,-1.809350204E1,-9.522094727E-1,-3.818170166E1,4.226255862E1
3.993006667E-1,-1.813119125E1,-1.087524414E0,-3.807659912E1,4.218708578E1
4.092476667E-1,-1.824422836E1,-1.036727905E0,-3.792364502E1,4.209666881E1
4.191936667E-1,-1.826504135E1,-8.758239746E-1,-3.797634888E1,4.214951811E1
4.291396667E-1,-1.835763168E1,-1.023239136E0,-3.805279541E1,4.226186103E1
4.390866667E-1,-1.836882401E1,-1.022537231E0,-3.796737671E1,4.218982071E1
4.490326667E-1,-1.848117447E1,-8.968658447E-1,-3.793060303E1,4.220294805E1
4.589796667E-1,-1.839272690E1,-8.594970703E-1,-3.812265015E1,4.233636253E1
4.689256667E-1,-1.844849777E1,-8.706054688E-1,-3.813720703E1,4.237394936E1
4.788726667E-1,-1.851271439E1,-1.027023315E0,-3.836413574E1,4.260965011E1
4.888186667E-1,-1.842821121E1,-8.936462402E-1,-3.798080444E1,4.222486327E1
4.987656667E-1,-1.838685226E1,-9.398193359E-1,-3.794155884E1,4.217252048E1
5.087116667E-1,-1.828965378E1,-1.020629883E0,-3.802490234E1,4.220718326E1
5.186576667E-1,-1.821170425E1,-9.876251221E-1,-3.790551758E1,4.206506672E1
5.286046667E-1,-1.838098526E1,-1.017593384E0,-3.807540894E1,4.229223192E1
5.385506667E-1,-1.837035751E1,-1.050033569E0,-3.809896851E1,4.230962074E1
5.484976667E-1,-1.821055984E1,-1.030059814E0,-3.816207886E1,4.229692395E1
5.584436667E-1,-1.836849594E1,-1.025314331E0,-3.817926025E1,4.238052414E1
5.683906667E-1,-1.828612137E1,-9.597778320E-1,-3.821035767E1,4.237139178E1
5.783366667E-1,-1.830994797E1,-1.014923096E0,-3.815286255E1,4.233113729E1
5.882836667E-1,-1.832786942E1,-1.106246948E0,-3.796972656E1,4.217623401E1
5.982296667E-1,-1.833857346E1,-9.532928467E-1,-3.798959351E1,4.219503831E1
6.081756667E-1,-1.827580643E1,-1.030044556E0,-3.802713013E1,4.220342069E1
6.181226667E-1,-1.822699356E1,-9.765319824E-1,-3.809936523E1,4.224616598E1
6.280686667E-1,-1.826114273E1,-1.030883789E0,-3.815057373E1,4.230837188E1
6.380156667E-1,-1.811484909E1,-9.995269775E-1,-3.794711304E1,4.206102946E1
6.479616667E-1,-1.835501480E1,-1.022674561E0,-3.782925415E1,4.205953995E1
6.579086667E-1,-1.830102921E1,-9.706115723E-1,-3.765408325E1,4.187719836E1
6.678546667E-1,-1.825575638E1,-9.172821045E-1,-3.758499146E1,4.179408607E1
6.778016667E-1,-1.826265335E1,-1.019287109E0,-3.761303711E1,4.182468188E1
6.877476667E-1,-1.837755203E1,-9.983978271E-1,-3.787213135E1,4.210735743E1
6.976936667E-1,-1.824991989E1,-9.669342041E-1,-3.792861938E1,4.210195609E1
7.076406667E-1,-1.821160507E1,-9.201202393E-1,-3.796789551E1,4.211971355E1
7.175866667E-1,-1.819092178E1,-9.131164551E-1,-3.781939697E1,4.197678173E1
7.275336667E-1,-1.824710464E1,-9.006652832E-1,-3.781344604E1,4.199553223E1
7.374796667E-1,-1.824710464E1,-9.006652832E-1,-3.781344604E1,4.199553223E1
7.474266667E-1,-1.826008987E1,-9.704437256E-1,-3.793322754E1,4.211059718E1
7.573726667E-1,-1.823611069E1,-9.944610596E-1,-3.795660400E1,4.212182894E1
7.673196667E-1,-1.821299362E1,-1.004638672E0,-3.769552612E1,4.187690444E1
7.772656667E-1,-1.822886276E1,-1.002578735E0,-3.799652100E1,4.215485986E1
