"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.411958333E-3,1.190651321E1,-1.984384155E1,-3.682684326E1,4.349436158E1
1.635895833E-2,1.193657303E1,-1.982209778E1,-3.688552856E1,4.354238801E1
2.630595833E-2,1.193691635E1,-1.988519287E1,-3.691470337E1,4.359594238E1
3.625295833E-2,1.194234848E1,-1.989489746E1,-3.689297485E1,4.358346276E1
4.619995833E-2,1.188757706E1,-1.982023621E1,-3.697421265E1,4.360331011E1
5.614595833E-2,1.197427368E1,-1.972018433E1,-3.720690918E1,4.377925297E1
6.609295833E-2,1.203424835E1,-1.976800537E1,-3.708264160E1,4.371177734E1
7.603995833E-2,1.198860550E1,-1.976423645E1,-3.696578979E1,4.359840960E1
8.598695833E-2,1.195045471E1,-1.969909668E1,-3.680203247E1,4.341955057E1
9.593395833E-2,1.191967392E1,-1.969818115E1,-3.685308838E1,4.345396518E1
1.058809583E-1,1.193624878E1,-1.966528320E1,-3.698513794E1,4.355568650E1
1.158279583E-1,1.196942520E1,-1.958460999E1,-3.707672119E1,4.360627641E1
1.257749583E-1,1.193961334E1,-1.970800781E1,-3.691299438E1,4.351469974E1
1.357219583E-1,1.192338943E1,-1.970903015E1,-3.695269775E1,4.354440212E1
1.456689583E-1,1.183140945E1,-1.978709412E1,-3.709304810E1,4.367385442E1
1.556159583E-1,1.188465881E1,-1.981361389E1,-3.689480591E1,4.353218480E1
1.655629583E-1,1.204416656E1,-1.981892395E1,-3.694961548E1,4.362482984E1
1.755099583E-1,1.215215683E1,-1.962326050E1,-3.671270752E1,4.336554118E1
1.854569583E-1,1.218248749E1,-1.952383423E1,-3.698709106E1,4.356188712E1
1.954039583E-1,1.199486160E1,-1.959091187E1,-3.694805908E1,4.350677651E1
2.053509583E-1,1.183854294E1,-1.973229980E1,-3.711761475E1,4.367186828E1
2.152969583E-1,1.195233536E1,-1.977412415E1,-3.717041016E1,4.376658197E1
2.252439583E-1,1.190407562E1,-1.971133423E1,-3.714578247E1,4.370415162E1
2.351909583E-1,1.199126816E1,-1.954257202E1,-3.715740967E1,4.366206278E1
2.451379583E-1,1.194098282E1,-1.981582642E1,-3.699389648E1,4.363258443E1
2.550849583E-1,1.194098282E1,-1.981582642E1,-3.699389648E1,4.363258443E1
2.650319583E-1,1.190826797E1,-1.967242432E1,-3.690512085E1,4.348331944E1
2.749789583E-1,1.189932632E1,-1.964068604E1,-3.703717041E1,4.357869327E1
2.849259583E-1,1.192342758E1,-1.970071411E1,-3.712466431E1,4.368669090E1
2.948729583E-1,1.191835785E1,-1.964816284E1,-3.705429077E1,4.360181213E1
3.048199583E-1,1.192158508E1,-1.967866516E1,-3.722613525E1,4.376253191E1
3.147662083E-1,1.186722565E1,-1.975173950E1,-3.707189941E1,4.364960463E1
3.247132083E-1,1.193754196E1,-1.971743774E1,-3.700390625E1,4.359554263E1
3.346602083E-1,1.198545837E1,-1.983221436E1,-3.715942383E1,4.379258748E1
3.446072083E-1,1.193793106E1,-1.972724915E1,-3.703009033E1,4.362231249E1
3.545532083E-1,1.197171783E1,-1.972328186E1,-3.714471436E1,4.372710464E1
3.645002083E-1,1.197557831E1,-1.968458557E1,-3.701129150E1,4.359739767E1
3.744472083E-1,1.191645432E1,-1.972042847E1,-3.710430908E1,4.367638876E1
3.843942083E-1,1.189009857E1,-1.979400635E1,-3.717413330E1,4.376177919E1
3.943412083E-1,1.191192627E1,-1.969526672E1,-3.700900269E1,4.358283835E1
4.042882083E-1,1.179969025E1,-1.983598328E1,-3.717092896E1,4.375359279E1
4.142352083E-1,1.179155350E1,-1.983226013E1,-3.730734253E1,4.386567089E1
4.241822083E-1,1.195948410E1,-1.991024780E1,-3.725921631E1,4.390553983E1
4.341292083E-1,1.183554840E1,-1.984046936E1,-3.717294312E1,4.376702103E1
4.440762083E-1,1.195735550E1,-1.980371094E1,-3.715917969E1,4.377179403E1
4.540232083E-1,1.200538635E1,-1.986294556E1,-3.745733643E1,4.406492891E1
4.639702083E-1,1.191196823E1,-1.987425232E1,-3.732614136E1,4.393315059E1
4.739172083E-1,1.191078568E1,-1.973368835E1,-3.736230469E1,4.390019457E1
4.838642083E-1,1.204850006E1,-1.990904236E1,-3.730670166E1,4.396960666E1
4.938102083E-1,1.185976028E1,-1.973945618E1,-3.713168335E1,4.369281351E1
5.037572083E-1,1.200014114E1,-1.972680664E1,-3.731500244E1,4.388119979E1
5.137042083E-1,1.194828033E1,-1.978308105E1,-3.736688232E1,4.393649501E1
5.236512083E-1,1.200020599E1,-1.985018921E1,-3.728201294E1,4.390880828E1
5.335982083E-1,1.196814346E1,-1.980195618E1,-3.727215576E1,4.386989311E1
5.435452083E-1,1.187549973E1,-1.977133179E1,-3.723107910E1,4.379596220E1
5.534922083E-1,1.177823257E1,-1.981962585E1,-3.727569580E1,4.382946302E1
5.634392083E-1,1.184064102E1,-1.985598755E1,-3.705841064E1,4.367821907E1
5.733862083E-1,1.204143906E1,-1.980288696E1,-3.700561523E1,4.366424333E1
5.833332083E-1,1.202141190E1,-1.973098755E1,-3.699194336E1,4.361456279E1
5.932802083E-1,1.209394836E1,-1.981546021E1,-3.701608276E1,4.369332253E1
6.032272083E-1,1.202595520E1,-1.972885132E1,-3.693927002E1,4.357018295E1
6.131742083E-1,1.198400879E1,-1.979263306E1,-3.693115234E1,4.358067007E1
6.231212083E-1,1.208419800E1,-1.974996948E1,-3.693978882E1,4.359629725E1
6.330682083E-1,1.208657074E1,-1.963151550E1,-3.690396118E1,4.351303189E1
6.430142083E-1,1.209955978E1,-1.969190979E1,-3.684732056E1,4.349592728E1
6.529612083E-1,1.195979691E1,-1.975080872E1,-3.690588379E1,4.353361282E1
6.629082083E-1,1.202503204E1,-1.982051086E1,-3.696060181E1,4.362957864E1
6.728552083E-1,1.199494553E1,-1.983201599E1,-3.713125610E1,4.377119779E1
