"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.105654167E-2,-3.564443588E1,-2.666844177E1,-2.466955566E1,5.089517239E1
2.100354166E-2,-3.583767319E1,-2.695112610E1,-2.460476685E1,5.114779144E1
3.095054167E-2,-3.582107162E1,-2.694381714E1,-2.464599609E1,5.115216103E1
4.089754166E-2,-3.588952255E1,-2.704669189E1,-2.500540161E1,5.142811956E1
5.084454166E-2,-3.592135239E1,-2.704724121E1,-2.492297363E1,5.141061592E1
6.079154167E-2,-3.595845413E1,-2.714144897E1,-2.492794800E1,5.148855472E1
7.073854166E-2,-3.584578323E1,-2.690954590E1,-2.488601685E1,5.126751087E1
8.068554166E-2,-3.583645248E1,-2.698857117E1,-2.494210815E1,5.132974829E1
9.063254167E-2,-3.590427017E1,-2.689685059E1,-2.507525635E1,5.139382909E1
1.005795417E-1,-3.587096024E1,-2.677754211E1,-2.504003906E1,5.129099440E1
1.105275417E-1,-3.601474380E1,-2.681825256E1,-2.531350708E1,5.154662048E1
1.204745417E-1,-3.577927017E1,-2.677593994E1,-2.514913940E1,5.127949246E1
1.304215417E-1,-3.586816788E1,-2.683892822E1,-2.544235229E1,5.151860659E1
1.403685417E-1,-3.592058182E1,-2.672906494E1,-2.559460449E1,5.157339324E1
1.503155417E-1,-3.580771255E1,-2.668394470E1,-2.586880493E1,5.160833510E1
1.602625417E-1,-3.576852798E1,-2.672143555E1,-2.568811035E1,5.151020991E1
1.702095417E-1,-3.572350693E1,-2.663813782E1,-2.562661743E1,5.140508588E1
1.801565417E-1,-3.577862167E1,-2.677600098E1,-2.587786865E1,5.164037261E1
1.901035417E-1,-3.585636520E1,-2.678445435E1,-2.594610596E1,5.173283613E1
2.000505417E-1,-3.578326797E1,-2.683445740E1,-2.588940430E1,5.167970226E1
2.099975417E-1,-3.576647568E1,-2.675376892E1,-2.599157715E1,5.167752913E1
2.199445417E-1,-3.576151657E1,-2.679667664E1,-2.615719604E1,5.177979192E1
2.298925417E-1,-3.562556076E1,-2.705888367E1,-2.601196289E1,5.174926065E1
2.398395417E-1,-3.562879562E1,-2.688206482E1,-2.618218994E1,5.174517907E1
2.497865417E-1,-3.549755478E1,-2.691342163E1,-2.614364624E1,5.165170760E1
2.597335417E-1,-3.549944687E1,-2.702656555E1,-2.616442871E1,5.172256087E1
2.696805417E-1,-3.552559280E1,-2.692095947E1,-2.640432739E1,5.180728045E1
2.796275417E-1,-3.564176559E1,-2.690388489E1,-2.636734009E1,5.185933956E1
2.895745417E-1,-3.567987442E1,-2.694229126E1,-2.656851196E1,5.200794482E1
2.995215417E-1,-3.556449509E1,-2.690451050E1,-2.661459351E1,5.193286612E1
3.094685417E-1,-3.547867203E1,-2.692587280E1,-2.646902466E1,5.181069447E1
3.194155417E-1,-3.534971237E1,-2.681996155E1,-2.630520630E1,5.158368328E1
3.293625417E-1,-3.535397720E1,-2.696925354E1,-2.618838501E1,5.160499830E1
3.393095417E-1,-3.545768356E1,-2.682540894E1,-2.650115967E1,5.176061584E1
3.492565417E-1,-3.538313675E1,-2.684652710E1,-2.660275269E1,5.177266493E1
3.592045417E-1,-3.536968613E1,-2.689082336E1,-2.660928345E1,5.178981602E1
3.691515417E-1,-3.541978836E1,-2.682495117E1,-2.687347412E1,5.192613046E1
3.790985417E-1,-3.536243820E1,-2.693719482E1,-2.679168701E1,5.190288040E1
3.890455417E-1,-3.528618240E1,-2.686291504E1,-2.666830444E1,5.174871336E1
3.989925417E-1,-3.521776962E1,-2.678675842E1,-2.650204468E1,5.157693376E1
4.089395417E-1,-3.525384903E1,-2.678210449E1,-2.670462036E1,5.170349834E1
4.188865417E-1,-3.535242844E1,-2.668627930E1,-2.671691895E1,5.172760827E1
4.288335417E-1,-3.518361282E1,-2.660940552E1,-2.659811401E1,5.151122928E1
4.387805417E-1,-3.540961075E1,-2.666941833E1,-2.707327271E1,5.194285805E1
4.487275417E-1,-3.535886765E1,-2.662640381E1,-2.682525635E1,5.175721475E1
4.586745417E-1,-3.554889297E1,-2.674696350E1,-2.645846558E1,5.176074042E1
4.686215417E-1,-3.552893448E1,-2.666886902E1,-2.661178589E1,5.178533487E1
4.785685417E-1,-3.549827957E1,-2.665829468E1,-2.672488403E1,5.181710098E1
4.885165417E-1,-3.536520767E1,-2.671307373E1,-2.663473511E1,5.170778796E1
4.984635417E-1,-3.539973068E1,-2.672816467E1,-2.650765991E1,5.167389818E1
5.084105417E-1,-3.553852463E1,-2.654162598E1,-2.657723999E1,5.170874518E1
5.183575417E-1,-3.542231369E1,-2.647177124E1,-2.641659546E1,5.151049889E1
5.283045417E-1,-3.525383377E1,-2.641513062E1,-2.638977051E1,5.135184426E1
5.382515417E-1,-3.527056503E1,-2.662901306E1,-2.665011597E1,5.160761354E1
5.481985417E-1,-3.526710129E1,-2.656629944E1,-2.655813599E1,5.152544310E1
5.581455417E-1,-3.526710129E1,-2.656629944E1,-2.655813599E1,5.152544310E1
5.680925417E-1,-3.534136581E1,-2.654527283E1,-2.666192627E1,5.161900773E1
5.780395417E-1,-3.535931015E1,-2.653240967E1,-2.667498779E1,5.163142987E1
5.879865417E-1,-3.529875565E1,-2.646510315E1,-2.670938110E1,5.157319918E1
5.979335417E-1,-3.535207748E1,-2.657870483E1,-2.668499756E1,5.165545497E1
6.078815417E-1,-3.534644699E1,-2.658207703E1,-2.663671875E1,5.162841194E1
