"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.140875001E-3,-8.901409149E0,8.973144531E0,-1.909051514E1,2.289541823E1
1.908987500E-2,-8.911609650E0,8.815368652E0,-1.905419922E1,2.280767456E1
2.903787500E-2,-8.905124664E0,8.886108398E0,-1.903756714E1,2.281870133E1
3.898687500E-2,-8.937126160E0,9.151046753E0,-1.877496338E1,2.271812339E1
4.893487500E-2,-8.984569550E0,9.434127808E0,-1.872518921E1,2.281135613E1
5.888387500E-2,-9.079921722E0,9.681289673E0,-1.847952271E1,2.275225500E1
6.883187500E-2,-9.137416840E0,9.775588989E0,-1.854827881E1,2.287123025E1
7.878087500E-2,-9.232635498E0,9.887130737E0,-1.834213257E1,2.279102322E1
8.872987500E-2,-9.228626251E0,9.973831177E0,-1.826452637E1,2.276483635E1
9.867787500E-2,-9.403354645E0,1.012481689E1,-1.821704102E1,2.286472346E1
1.086268750E-1,-9.511363983E0,1.009759521E1,-1.797167969E1,2.270261537E1
1.185748750E-1,-9.425334930E0,1.025820923E1,-1.760223389E1,2.244786032E1
1.285238750E-1,-9.531024933E0,1.030470276E1,-1.776510620E1,2.264125291E1
1.384718750E-1,-9.662467957E0,1.025561523E1,-1.777774048E1,2.268455394E1
1.484208750E-1,-9.663944244E0,1.022885132E1,-1.770654297E1,2.261731376E1
1.583688750E-1,-9.884780884E0,1.028646851E1,-1.772399902E1,2.275215306E1
1.683178750E-1,-1.000883865E1,1.060551453E1,-1.738287354E1,2.268960295E1
1.782658750E-1,-1.028560638E1,1.042607117E1,-1.727987671E1,2.265150763E1
1.882148750E-1,-1.045507050E1,1.047637939E1,-1.726373291E1,2.273982186E1
1.981628750E-1,-1.052037430E1,1.049369812E1,-1.692861938E1,2.252496681E1
2.081118750E-1,-1.079525375E1,1.061640930E1,-1.688711548E1,2.268083595E1
2.180598750E-1,-1.083325195E1,1.070841980E1,-1.699716187E1,2.282395921E1
2.280088750E-1,-1.108626938E1,1.068136597E1,-1.692593384E1,2.287977675E1
2.379568750E-1,-1.120776367E1,1.060914612E1,-1.697897339E1,2.294457420E1
2.479058750E-1,-1.123748398E1,1.045750427E1,-1.705047607E1,2.294251896E1
2.578538750E-1,-1.137367249E1,1.064779663E1,-1.692755127E1,2.300604249E1
2.678028750E-1,-1.135574722E1,1.060284424E1,-1.665780640E1,2.277840677E1
2.777518750E-1,-1.163633728E1,1.050573730E1,-1.666180420E1,2.287773111E1
2.876998750E-1,-1.172466660E1,1.060212708E1,-1.638354492E1,2.276605916E1
2.976488750E-1,-1.185878372E1,1.061653137E1,-1.637127686E1,2.283331329E1
3.075968750E-1,-1.210591507E1,1.046731567E1,-1.641180420E1,2.292302760E1
3.175458750E-1,-1.208225632E1,1.057548523E1,-1.635800171E1,2.292173696E1
3.274938750E-1,-1.226659775E1,1.052687073E1,-1.612353516E1,2.283096173E1
3.374428750E-1,-1.231947708E1,1.041024780E1,-1.598120117E1,2.270554042E1
3.473908750E-1,-1.262169266E1,1.045330811E1,-1.582186890E1,2.277960297E1
3.573398750E-1,-1.286323929E1,1.038706970E1,-1.554983521E1,2.269694951E1
3.672882500E-1,-1.289845657E1,1.026379395E1,-1.550439453E1,2.262966853E1
3.772372500E-1,-1.315891647E1,1.023968506E1,-1.529226685E1,2.262435984E1
3.871852500E-1,-1.326128769E1,1.018930054E1,-1.506149292E1,2.250626947E1
3.971342500E-1,-1.339941025E1,1.032679749E1,-1.495248413E1,2.257794771E1
4.070822500E-1,-1.360469437E1,1.029844666E1,-1.463598633E1,2.248016477E1
4.170312500E-1,-1.375171280E1,1.021908569E1,-1.466561890E1,2.255259841E1
4.269792500E-1,-1.386513901E1,1.021411133E1,-1.452102661E1,2.252621503E1
4.369282500E-1,-1.405002213E1,1.033876038E1,-1.414379883E1,2.245751841E1
4.468762500E-1,-1.407233047E1,1.059921265E1,-1.393511963E1,2.246244316E1
4.568252500E-1,-1.426081467E1,1.050813293E1,-1.384552002E1,2.248310738E1
4.667732500E-1,-1.423833084E1,1.064675903E1,-1.351559448E1,2.233281973E1
4.767222500E-1,-1.436227798E1,1.068547058E1,-1.353460693E1,2.244192272E1
4.866712500E-1,-1.445764542E1,1.067408752E1,-1.348208618E1,2.246611456E1
4.966192500E-1,-1.458232498E1,1.073864746E1,-1.325903320E1,2.244470344E1
5.065682500E-1,-1.467181015E1,1.072113037E1,-1.311441040E1,2.240964992E1
5.165162500E-1,-1.492131424E1,1.082215881E1,-1.331591797E1,2.273935820E1
5.264652500E-1,-1.478036880E1,1.084024048E1,-1.306594849E1,2.250975623E1
